,Wyscout id,Player,Team within selected timeframe,League,Age,Minutes played,Position,Primary position,Secondary position,Third position,wPwC,Aerial impact,wSwC,wAwC,wDpwC,wDcwC
6169,282502,A. Arregui,Alianza Lima,PER Liga 1,32.0,1654,"DMF, RCMF3, RCMF",DMF,RCMF3,RCMF,0.908209742020378,2.281147788959992,0.6993244094991654,0.3365221363039853,2.0750120692781557,1.274740269482027
6170,176389,H. Calcaterra,Universitario,PER Liga 1,35.0,1650,"LCMF3, DMF",LCMF3,DMF,0,2.2593990685424417,1.09205224258241,0.8193454156358184,1.10662515977566,1.7271090818360368,1.232548214442371
6171,443176,K. Paico,Comerciantes Unidos,PER Liga 1,29.0,1642,"LDMF, DMF, LCMF",LDMF,DMF,LCMF,0.1564281467544962,1.0698067373107378,0.0,0.3202325088782116,1.7794834299297746,1.834250966146052
6172,274303,D. Mondino,UTC Cajamarca,PER Liga 1,29.0,1640,RCB,RCB,0,0,0.2754864692325162,2.1920444858235864,0.6961888785671055,0.0307165847447567,0.9470925681432084,1.9292627060595828
6173,350635,Gut,Sport Huancayo,PER Liga 1,28.0,1616,"RDMF, RCB, LDMF",RDMF,RCB,LDMF,0.2377762697895403,2.611991712783701,0.1470367018225655,0.6893165288701568,1.445783158198238,1.913136631277851
6174,435614,R. Solís,Sporting Cristal,PER Liga 1,26.0,1606,GK,GK,0,0,0.2136506534574604,0.4143864421310792,0.0,0.0044248795329125,0.0567417356821561,0.1142194859311963
6175,23911,E. Aubert,ADT,PER Liga 1,35.0,1601,"LCMF, LCMF3, DMF",LCMF,LCMF3,DMF,1.884821622020034,0.4551846936529962,0.1449052899788683,0.9067469095776116,0.9546842890591734,1.2385994465307455
6176,-60891,J. Pretell,Sporting Cristal,PER Liga 1,25.0,1590,"RDMF, LCMF, RCMF",RDMF,LCMF,RCMF,1.1244258535121887,1.4292033329760183,0.0047451265915831,0.8145378633893564,1.2898400448791556,1.8179429400150195
6177,24014,D. Minaya,Sport Huancayo,PER Liga 1,34.0,1588,RCB,RCB,0,0,0.0826964241558522,1.842427638960271,0.3041860427788989,0.4354108852274938,1.4307458201363408,1.5237955610215157
6178,330379,R. Huaccha,Sport Huancayo,PER Liga 1,30.0,1585,"CF, LAMF, RAMF",CF,LAMF,RAMF,1.009117770529309,0.855469565762144,1.632852789653688,1.3358322594549097,0.3650325877153998,0.6648793949694488
